ensemblID	Young1	Young2	Young3	Young4	Young5	Old1	Old2	Old3	Old4	Old5	Old6
ENSMUSG00000075033	561.50	545.79	619.49	664.43	610.50	675.38	670.61	637.31	661.19	607.50	569.24
ENSMUSG00000010142	20.22	33.05	22.06	34.10	33.30	34.51	36.53	26.67	30.43	27.30	25.96
ENSMUSG00000036934	80.10	119.70	121.94	134.63	134.05	152.82	116.12	125.33	135.75	102.39	122.38
ENSMUSG00000001847	4754.05	5190.83	5171.00	5324.18	5521.79	5451.12	5748.50	5396.21	5366.78	5491.85	5636.74
ENSMUSG00000032547	580.94	599.39	582.73	670.55	633.55	645.80	653.65	691.52	610.87	655.28	639.70
ENSMUSG00000029862	27.22	21.44	18.38	27.98	36.72	27.11	26.09	37.33	26.92	20.48	29.67
ENSMUSG00000025968	2772.48	2683.40	3009.22	2730.28	2918.43	3110.70	2904.26	2971.42	2993.51	2921.45	3105.77
ENSMUSG00000008398	215.42	198.31	180.15	173.10	215.17	203.35	223.10	210.66	205.96	204.77	202.11
ENSMUSG00000022297	230.20	205.45	193.63	224.68	295.43	239.10	259.63	226.66	215.33	268.16	257.73
ENSMUSG00000028042	297.08	306.39	267.16	304.24	320.19	283.46	335.31	311.10	304.27	349.09	315.21
ENSMUSG00000028060	608.94	644.95	637.26	651.32	659.17	613.76	644.52	836.41	593.32	660.15	730.55
ENSMUSG00000026932	2504.18	2418.10	2425.27	2476.75	2520.54	2520.36	2705.94	2510.11	2609.66	2679.62	2718.24
ENSMUSG00000044730	321.97	315.33	322.31	293.75	305.68	341.39	341.83	334.21	333.52	323.74	311.50
ENSMUSG00000030111	341.41	457.36	216.91	540.29	554.14	416.57	497.09	383.09	430.65	486.58	487.65
ENSMUSG00000029209	189.76	225.11	204.66	211.57	240.78	219.38	227.02	257.77	221.18	210.63	224.36
ENSMUSG00000025089	1241.20	1239.87	1484.08	1175.86	1227.82	1406.22	1337.32	1383.94	1380.90	1328.11	1283.10
ENSMUSG00000037894	70.77	94.69	72.30	71.69	77.70	81.34	71.76	104.88	83.09	80.93	63.04
ENSMUSG00000042797	330.52	349.27	362.14	262.27	305.68	329.06	380.97	327.99	332.35	369.57	313.36
ENSMUSG00000070737	49.77	48.24	40.44	38.47	39.28	56.69	48.27	48.00	45.64	39.00	37.08
ENSMUSG00000041014	807.25	978.14	933.22	880.37	957.16	985.96	932.86	1050.62	928.01	976.09	917.82
ENSMUSG00000001017	1789.48	2097.41	1966.32	2025.63	2157.66	2156.79	2135.79	2151.02	2054.96	2054.57	2236.15
ENSMUSG00000028222	1840.80	2607.48	2401.98	2224.96	2436.86	2764.38	2332.80	2576.77	2377.95	2304.20	2314.03
ENSMUSG00000039629	1003.23	1027.27	810.67	1565.78	1601.81	1143.71	1332.10	1485.27	1164.40	1326.16	1223.77
ENSMUSG00000055850	901.35	1012.08	995.72	1058.72	948.62	1030.33	1069.85	1015.07	1063.76	1009.24	1082.85
ENSMUSG00000026356	1185.21	1281.85	1365.82	1279.90	1325.16	1477.71	1346.45	1340.38	1426.54	1258.87	1359.12
ENSMUSG00000062729	252.75	244.76	186.28	199.33	192.11	197.19	198.31	300.43	202.45	228.18	241.04
ENSMUSG00000059482	613.60	639.59	706.50	723.00	804.32	806.02	738.46	727.08	741.94	655.28	782.47
ENSMUSG00000030876	771.47	935.26	849.89	970.42	993.87	1008.14	988.96	888.85	965.46	909.78	1003.12
ENSMUSG00000040174	160.98	128.63	137.87	135.51	146.86	131.87	163.09	165.33	119.37	145.29	187.27
ENSMUSG00000033793	2874.36	3046.07	3297.21	3197.13	2864.64	3438.53	3214.78	3120.75	3263.84	3097.94	3341.25
ENSMUSG00000040820	253.53	270.66	253.07	248.29	246.76	274.84	285.73	264.88	251.60	287.66	250.32
ENSMUSG00000056812	2491.74	2804.89	3082.75	2836.94	3002.11	3156.30	3029.51	3112.75	2963.08	2845.39	3005.64
ENSMUSG00000078117	215.42	243.86	259.81	264.02	232.24	248.95	289.64	241.77	259.80	240.85	278.13
ENSMUSG00000024339	164.09	245.65	164.22	178.35	155.40	183.63	207.45	181.33	181.39	216.48	183.56
ENSMUSG00000096926	29.55	25.01	14.09	13.99	12.81	16.02	20.88	31.11	14.04	16.58	24.10
ENSMUSG00000027184	4319.32	4787.07	4805.19	4567.08	4895.93	5062.90	5055.71	5357.98	4834.31	4663.00	4776.40
ENSMUSG00000032564	2019.67	1962.53	2096.22	2208.35	2295.12	2299.75	2310.62	2510.11	2198.91	2170.61	1967.30
ENSMUSG00000016495	167.20	183.12	145.22	199.33	174.18	199.66	199.62	186.66	183.73	171.62	157.61
ENSMUSG00000033855	110.43	109.87	112.75	139.01	120.39	114.62	129.17	90.66	111.17	159.92	155.75
ENSMUSG00000022142	429.29	491.30	428.31	433.63	455.95	505.30	426.64	527.98	475.12	452.45	450.57
ENSMUSG00000003623	498.50	637.80	568.63	631.21	590.86	624.85	632.78	656.86	600.34	601.65	602.61
ENSMUSG00000037108	87.88	92.01	68.02	85.68	62.33	81.34	95.24	92.44	83.09	71.18	79.73
ENSMUSG00000046138	1274.64	1464.97	1525.75	1263.29	1484.83	1501.12	1491.27	1654.15	1454.62	1450.97	1370.25
ENSMUSG00000073415	17.11	26.80	20.83	20.98	25.62	27.11	24.79	20.44	21.06	26.33	22.25
ENSMUSG00000029089	105.77	111.66	110.91	111.90	105.02	112.15	113.51	107.55	119.37	124.81	118.67
ENSMUSG00000038482	372.52	351.06	355.40	317.35	390.21	363.57	334.00	448.87	356.93	370.54	398.65
ENSMUSG00000036856	289.30	354.63	369.49	237.80	238.22	369.73	289.64	218.66	379.16	327.64	322.63
